#ies_format_version: 1.0
#file: 20250311_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	SHORT,7. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250311;	134540;	1741680940.000;	   err9
20250311;	134544;	1741680944.000;	   err9
20250311;	134548;	1741680948.000;	   err9
20250311;	134552;	1741680952.000;	   err9
20250311;	134556;	1741680956.000;	   err9
20250311;	134600;	1741680960.000;	   err9
20250311;	134604;	1741680964.000;	   err9
20250311;	134608;	1741680968.000;	   err9
20250311;	134612;	1741680972.000;	   err9
20250311;	134616;	1741680976.000;	   err9
20250311;	134620;	1741680980.000;	   err9
20250311;	134624;	1741680984.000;	   err9
20250311;	134628;	1741680988.000;	   err9
20250311;	134632;	1741680992.000;	   err9
20250311;	134636;	1741680996.000;	   err9
20250311;	134640;	1741681000.000;	   err9
20250311;	134644;	1741681004.000;	   err9
20250311;	134648;	1741681008.000;	   err9
20250311;	134652;	1741681012.000;	   err9
20250311;	134656;	1741681016.000;	   err9
20250311;	134700;	1741681020.000;	  err32
20250311;	134704;	1741681024.000;	  err32
20250311;	134708;	1741681028.000;	  err32
20250311;	134712;	1741681032.000;	  err32
20250311;	134716;	1741681036.000;	   err7
20250311;	134720;	1741681040.000;	      0
20250311;	134724;	1741681044.000;	      0
20250311;	134728;	1741681048.000;	      0
20250311;	134732;	1741681052.000;	      0
20250311;	134736;	1741681056.000;	      0
20250311;	134740;	1741681060.000;	      0
20250311;	134744;	1741681064.000;	      0
20250311;	134748;	1741681068.000;	      0
20250311;	134752;	1741681072.000;	      0
20250311;	134756;	1741681076.000;	      0
20250311;	134800;	1741681080.000;	      0
20250311;	134804;	1741681084.000;	      0
20250311;	134808;	1741681088.000;	      0
20250311;	134812;	1741681092.000;	      0
20250311;	134816;	1741681096.000;	      0
20250311;	134820;	1741681100.000;	      0
20250311;	134824;	1741681104.000;	      0
20250311;	134828;	1741681108.000;	      0
20250311;	134832;	1741681112.000;	      0
20250311;	134836;	1741681116.000;	      0
20250311;	134840;	1741681120.000;	      0
20250311;	134844;	1741681124.000;	      0
20250311;	134848;	1741681128.000;	      0
20250311;	134852;	1741681132.000;	      0
20250311;	134856;	1741681136.000;	      0
20250311;	134900;	1741681140.000;	      0
20250311;	134904;	1741681144.000;	      0
20250311;	134908;	1741681148.000;	      0
20250311;	134912;	1741681152.000;	      0
20250311;	134916;	1741681156.000;	      0
20250311;	134920;	1741681160.000;	      0
20250311;	134924;	1741681164.000;	      0
20250311;	134928;	1741681168.000;	      0
20250311;	134932;	1741681172.000;	      0
20250311;	134936;	1741681176.000;	      0
20250311;	134940;	1741681180.000;	      0
20250311;	134944;	1741681184.000;	      0
20250311;	134948;	1741681188.000;	      0
20250311;	134952;	1741681192.000;	      0
20250311;	134956;	1741681196.000;	      0
20250311;	135000;	1741681200.000;	      0
20250311;	135004;	1741681204.000;	      0
20250311;	135008;	1741681208.000;	      0
20250311;	135012;	1741681212.000;	      0
20250311;	135016;	1741681216.000;	      0
20250311;	135020;	1741681220.000;	      0
20250311;	135024;	1741681224.000;	      0
20250311;	135028;	1741681228.000;	      0
20250311;	135032;	1741681232.000;	      0
20250311;	135036;	1741681236.000;	      0
